Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2006,23,CAR,RB,13,2,121,501,1,31,45.5,31,4.1,38.5,9.3,36,33,313,9.5,1,11,52.8,41,2.5,24.1,91.7,8.7,154,5.3,814,2,1,5,,DeAngelo Williams,WillDe02
2007,24,CAR,RB,16,0,144,717,4,30,39.6,75,5.0,44.8,9.0,38,23,175,7.6,1,5,34.2,30,1.4,10.9,60.5,4.6,167,5.3,892,5,1,6,,DeAngelo Williams,WillDe02
2008,25,CAR,RB,16,16,273,1515,18,65,44.3,69,5.5,94.7,17.1,30,22,121,5.5,2,8,26.7,25,1.4,7.6,73.3,4.0,295,5.5,1636,20,0,13,"AP-2,AP OPoY-5",DeAngelo Williams,WillDe02
2009,26,CAR,RB,13,13,216,1117,7,51,44.0,77,5.2,85.9,16.6,41,29,252,8.7,0,14,58.5,30,2.2,19.4,70.7,6.1,245,5.6,1369,7,3,10,PB,DeAngelo Williams,WillDe02
2010,27,CAR,RB,6,6,87,361,1,12,31.0,39,4.1,60.2,14.5,13,11,61,5.5,0,4,46.2,14,1.8,10.2,84.6,4.7,98,4.3,422,1,1,2,,DeAngelo Williams,WillDe02
2011,28,CAR,RB,16,14,155,836,7,33,43.9,74,5.4,52.3,9.7,25,16,135,8.4,0,6,52.0,32,1.0,8.4,64.0,5.4,171,5.7,971,7,0,7,,DeAngelo Williams,WillDe02
2012,29,CAR,RB,16,10,173,737,5,34,42.8,65,4.3,46.1,10.8,20,13,187,14.4,2,5,40.0,53,0.8,11.7,65.0,9.4,186,5.0,924,7,2,6,,DeAngelo Williams,WillDe02
2013,30,CAR,RB,15,15,201,843,3,36,41.3,43,4.2,56.2,13.4,36,26,333,12.8,1,10,47.2,72,1.7,22.2,72.2,9.3,227,5.2,1176,4,3,10,,DeAngelo Williams,WillDe02
2014,31,CAR,RB,6,6,62,219,0,7,43.5,17,3.5,36.5,10.3,6,5,44,8.8,0,2,66.7,30,0.8,7.3,83.3,7.3,67,3.9,263,0,1,2,,DeAngelo Williams,WillDe02
2015,32,PIT,RB,16,10,200,907,11,53,48.0,55,4.5,56.7,12.5,47,40,367,9.2,0,15,51.1,34,2.5,22.9,85.1,7.8,240,5.3,1274,11,4,9,,DeAngelo Williams,WillDe02
2016,33,PIT,RB,9,4,98,343,4,22,43.9,17,3.5,38.1,10.9,27,18,118,6.6,2,6,40.7,20,2.0,13.1,66.7,4.4,116,4.0,461,6,0,3,,DeAngelo Williams,WillDe02
