Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,rec_success,rec_long,R/G,Y/G,catch_pct,Y/Tgt,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,av,awards,Player,PlayerID
2016,22,TEN,NFL,RB,15,2,110,490,5,29,54.5,22,4.5,32.7,7.3,15,13,137,10.5,0,5,46.7,29,0.9,9.1,86.7,9.1,123,5.1,627,5,0,4.0,,Derrick Henry,HenrDe00
2017,23,TEN,NFL,RB,16,2,176,744,5,40,45.5,75,4.2,46.5,11.0,17,11,136,12.4,1,4,41.2,66,0.7,8.5,64.7,8.0,187,4.7,880,6,1,6.0,,Derrick Henry,HenrDe00
2018,24,TEN,NFL,RB,16,12,215,1059,12,50,50.2,99,4.9,66.2,13.4,18,15,99,6.6,0,4,44.4,21,0.9,6.2,83.3,5.5,230,5.0,1158,12,1,7.0,,Derrick Henry,HenrDe00
2019,25,TEN,NFL,RB,15,15,303,1540,16,73,49.2,74,5.1,102.7,20.2,24,18,206,11.4,2,4,50.0,75,1.2,13.7,75.0,8.6,321,5.4,1746,18,5,13.0,,Derrick Henry,HenrDe00
2020,26,TEN,NFL,RB,16,16,378,2027,17,98,56.6,94,5.4,126.7,23.6,31,19,114,6.0,0,4,32.3,53,1.2,7.1,61.3,3.7,397,5.4,2141,17,3,16.0,,Derrick Henry,HenrDe00
2021,27,TEN,NFL,RB,8,8,219,937,10,49,44.7,76,4.3,117.1,27.4,20,18,154,8.6,0,7,80.0,16,2.3,19.3,90.0,7.7,237,4.6,1091,10,1,7.0,,Derrick Henry,HenrDe00
2022,28,TEN,NFL,RB,16,16,349,1538,13,65,46.7,56,4.4,96.1,21.8,41,33,398,12.1,0,11,61.0,69,2.1,24.9,80.5,9.7,382,5.1,1936,13,6,11.0,,Derrick Henry,HenrDe00
2023,29,TEN,NFL,RB,17,17,280,1167,12,63,46.1,69,4.2,68.6,16.5,36,28,214,7.6,0,7,44.4,46,1.6,12.6,77.8,5.9,308,4.5,1381,12,0,9.0,,Derrick Henry,HenrDe00
2024,30,BAL,NFL,RB,17,17,325,1921,16,94,58.8,87,5.9,113.0,19.1,22,19,193,10.2,2,11,68.2,27,1.1,11.4,86.4,8.8,344,6.1,2114,18,3,16.0,,Derrick Henry,HenrDe00
2025,31,BAL,NFL,RB,14,14,233,1125,10,55,50.6,59,4.8,80.4,16.6,20,15,150,10.0,0,4,55.0,44,1.1,10.7,75.0,7.5,248,5.1,1275,10,3,,,Derrick Henry,HenrDe00
