Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2016,22,TEN,RB,22,15,2,270,,0,,0,,Derrick Henry,HenrDe00
2017,23,TEN,RB,22,16,2,408,,0,,0,,Derrick Henry,HenrDe00
2018,24,TEN,RB,22,16,12,401,,0,,0,,Derrick Henry,HenrDe00
2019*,25,TEN,RB,22,15,15,589,,0,,0,,Derrick Henry,HenrDe00
2020*+,26,TEN,RB,22,16,16,705,,0,,0,,Derrick Henry,HenrDe00
2021,27,TEN,RB,22,8,8,411,,0,,0,,Derrick Henry,HenrDe00
2022*,28,TEN,RB,22,16,16,648,,0,,0,,Derrick Henry,HenrDe00
2023*,29,TEN,RB,22,17,17,558,,0,,0,,Derrick Henry,HenrDe00
2024*,30,BAL,RB,22,17,17,635,,0,,0,,Derrick Henry,HenrDe00
2025,31,BAL,RB,22,17,17,556,,0,,0,,Derrick Henry,HenrDe00
