Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
1999,21,IND,RB,16,16,0,0,0,0,0,0,8,2,0,0,0.0,0,0,0,0,,0,"PB,AP-1,AP MVP-4,AP OPoY-3,AP ORoY-1",Edgerrin James,JameEd00
2000,22,IND,RB,16,16,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,,0,"PB,AP-2,AP OPoY-2",Edgerrin James,JameEd00
2001,23,IND,RB,6,6,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,,0,,Edgerrin James,JameEd00
2002,24,IND,RB,14,14,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,,0,AP CPoY-5,Edgerrin James,JameEd00
2003,25,IND,RB,13,13,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,,0,,Edgerrin James,JameEd00
2004,26,IND,RB,16,16,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,,0,"PB,AP-2",Edgerrin James,JameEd00
2005,27,IND,RB,15,15,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,,0,PB,Edgerrin James,JameEd00
2006,28,ARI,RB,16,16,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,,Edgerrin James,JameEd00
2007,29,ARI,RB,16,16,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,,Edgerrin James,JameEd00
2008,30,ARI,RB,13,7,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,Edgerrin James,JameEd00
2009,31,SEA,RB,7,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,Edgerrin James,JameEd00
