Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
2005,22,SFO,RB,14,1,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,,0,,Frank Gore,GoreFr00
2006,23,SFO,RB,16,16,0,0,0,0,0,0,6,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2",Frank Gore,GoreFr00
2007,24,SFO,RB,15,15,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,,Frank Gore,GoreFr00
2008,25,SFO,RB,14,14,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,0,0,,Frank Gore,GoreFr00
2009,26,SFO,RB,14,14,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,PB,Frank Gore,GoreFr00
2010,27,SFO,RB,11,11,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,,Frank Gore,GoreFr00
2011,28,SFO,RB,16,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB,Frank Gore,GoreFr00
2012,29,SFO,RB,16,16,0,0,0,0,0,0,2,4,15,1,0.0,0,0,0,0,0,0,PB,Frank Gore,GoreFr00
2013,30,SFO,RB,16,16,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,,,0,PB,Frank Gore,GoreFr00
2014,31,SFO,RB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,,Frank Gore,GoreFr00
2015,32,IND,RB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,,,0,,Frank Gore,GoreFr00
2016,33,IND,RB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,Frank Gore,GoreFr00
2017,34,IND,RB,16,16,0,0,0,0,0,0,3,2,-8,0,0.0,0,0,0,0,0,0,,Frank Gore,GoreFr00
2018,35,MIA,RB,14,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,Frank Gore,GoreFr00
2020,37,NYJ,RB,15,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,Frank Gore,GoreFr00
