Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2005,22,SFO,RB,14,1,127,608,3,27,45.7,72,4.8,43.4,9.1,22,15,131,8.7,0,4,31.8,47,1.1,9.4,68.2,6.0,142,5.2,739,3,2,4,,Frank Gore,GoreFr00
2006,23,SFO,RB,16,16,312,1695,8,67,46.5,72,5.4,105.9,19.5,86,61,485,8.0,1,23,48.8,39,3.8,30.3,70.9,5.6,373,5.8,2180,9,6,16,"PB,AP-2",Frank Gore,GoreFr00
2007,24,SFO,RB,15,15,260,1102,5,42,41.5,43,4.2,73.5,17.3,69,53,436,8.2,1,20,55.1,23,3.5,29.1,76.8,6.3,313,4.9,1538,6,4,9,,Frank Gore,GoreFr00
2008,25,SFO,RB,14,14,240,1036,6,44,45.8,41,4.3,74.0,17.1,66,43,373,8.7,2,13,45.5,26,3.1,26.6,65.2,5.7,283,5.0,1409,8,6,10,,Frank Gore,GoreFr00
2009,26,SFO,RB,14,14,229,1120,10,47,39.3,80,4.9,80.0,16.4,75,52,406,7.8,3,14,45.3,48,3.7,29.0,69.3,5.4,281,5.4,1526,13,4,12,PB,Frank Gore,GoreFr00
2010,27,SFO,RB,11,11,203,853,3,42,47.3,64,4.2,77.5,18.5,72,46,452,9.8,2,15,38.9,41,4.2,41.1,63.9,6.3,249,5.2,1305,5,4,8,,Frank Gore,GoreFr00
2011,28,SFO,RB,16,15,282,1211,8,55,41.5,55,4.3,75.7,17.6,31,17,114,6.7,0,4,35.5,13,1.1,7.1,54.8,3.7,299,4.4,1325,8,2,10,PB,Frank Gore,GoreFr00
2012,29,SFO,RB,16,16,258,1214,8,68,47.7,37,4.7,75.9,16.1,36,28,234,8.4,1,10,47.2,26,1.8,14.6,77.8,6.5,286,5.1,1448,9,2,10,PB,Frank Gore,GoreFr00
2013,30,SFO,RB,16,16,276,1128,9,50,38.8,51,4.1,70.5,17.3,27,16,141,8.8,0,5,29.6,29,1.0,8.8,59.3,5.2,292,4.3,1269,9,3,9,PB,Frank Gore,GoreFr00
2014,31,SFO,RB,16,16,255,1106,4,55,48.2,52,4.3,69.1,15.9,19,11,111,10.1,1,2,26.3,55,0.7,6.9,57.9,5.8,266,4.6,1217,5,2,7,,Frank Gore,GoreFr00
2015,32,IND,RB,16,16,260,967,6,48,39.2,37,3.7,60.4,16.3,58,34,267,7.9,1,11,34.5,34,2.1,16.7,58.6,4.6,294,4.2,1234,7,4,7,,Frank Gore,GoreFr00
2016,33,IND,RB,16,16,263,1025,4,50,47.9,22,3.9,64.1,16.4,47,38,277,7.3,4,14,53.2,49,2.4,17.3,80.9,5.9,301,4.3,1302,8,2,10,,Frank Gore,GoreFr00
2017,34,IND,RB,16,16,261,961,3,49,42.9,21,3.7,60.1,16.3,38,29,245,8.4,1,9,42.1,26,1.8,15.3,76.3,6.4,290,4.2,1206,4,3,8,,Frank Gore,GoreFr00
2018,35,MIA,RB,14,14,156,722,0,25,51.3,39,4.6,51.6,11.1,16,12,124,10.3,1,8,68.8,24,0.9,8.9,75.0,7.8,168,5.0,846,1,1,5,,Frank Gore,GoreFr00
2019,36,BUF,RB,16,8,166,599,2,30,41.6,41,3.6,37.4,10.4,16,13,100,7.7,0,5,50.0,18,0.8,6.3,81.3,6.3,179,3.9,699,2,0,4,,Frank Gore,GoreFr00
2020,37,NYJ,RB,15,14,187,653,2,32,44.9,17,3.5,43.5,12.5,19,16,89,5.6,0,3,68.4,9,1.1,5.9,84.2,4.7,203,3.7,742,2,1,4,,Frank Gore,GoreFr00
