Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
1998,22,JAX,RB,15,12,0,0,0,0,,0,3,1,9,0,0.0,0,0,0,,,0,AP ORoY-3,Fred Taylor,TaylFr00
2000,24,JAX,RB,13,13,0,0,0,0,0,0,4,2,-1,0,0.0,0,0,0,0,,0,,Fred Taylor,TaylFr00
2001,25,JAX,RB,2,2,0,0,0,0,0,0,1,0,0,0,0.0,,,,,,0,,Fred Taylor,TaylFr00
2002,26,JAX,RB,16,16,0,0,0,0,0,0,3,0,0,0,0.0,,,,,,0,AP CPoY-5,Fred Taylor,TaylFr00
2003,27,JAX,RB,16,16,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,,0,,Fred Taylor,TaylFr00
2004,28,JAX,RB,14,14,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,,0,,Fred Taylor,TaylFr00
2005,29,JAX,RB,11,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,,0,,Fred Taylor,TaylFr00
2006,30,JAX,RB,15,15,0,0,0,0,0,0,3,0,0,0,0.0,,,,,,0,,Fred Taylor,TaylFr00
2007,31,JAX,RB,15,15,0,0,0,0,0,0,2,0,0,0,0.0,,,,,,0,"PB,AP-2",Fred Taylor,TaylFr00
2008,32,JAX,RB,13,13,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,,Fred Taylor,TaylFr00
2009,33,NWE,RB,6,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,Fred Taylor,TaylFr00
