Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
1998,22,JAX,RB,15,12,264,1223,14,58,40.9,77,4.6,81.5,17.6,53,44,421,9.6,3,16,41.5,78,2.9,28.1,83.0,7.9,308,5.3,1644,17,3,14,AP ORoY-3,Fred Taylor,TaylFr00
1999,23,JAX,RB,10,9,159,732,6,40,41.5,52,4.6,73.2,15.9,15,10,83,8.3,0,4,40.0,41,1.0,8.3,66.7,5.5,169,4.8,815,6,0,6,,Fred Taylor,TaylFr00
2000,24,JAX,RB,13,13,292,1399,12,73,46.9,71,4.8,107.6,22.5,53,36,240,6.7,2,11,39.6,19,2.8,18.5,67.9,4.5,328,5.0,1639,14,4,13,,Fred Taylor,TaylFr00
2001,25,JAX,RB,2,2,30,116,0,6,43.3,24,3.9,58.0,15.0,3,2,13,6.5,0,1,33.3,11,1.0,6.5,66.7,4.3,32,4.0,129,0,1,1,,Fred Taylor,TaylFr00
2002,26,JAX,RB,16,16,287,1314,8,50,43.6,63,4.6,82.1,17.9,57,49,408,8.3,0,15,56.1,72,3.1,25.5,86.0,7.2,336,5.1,1722,8,3,14,AP CPoY-5,Fred Taylor,TaylFr00
2003,27,JAX,RB,16,16,345,1572,6,79,46.7,62,4.6,98.3,21.6,74,48,370,7.7,1,16,44.6,60,3.0,23.1,64.9,5.0,393,4.9,1942,7,6,13,,Fred Taylor,TaylFr00
2004,28,JAX,RB,14,14,260,1224,2,49,42.7,46,4.7,87.4,18.6,58,36,345,9.6,1,18,41.4,64,2.6,24.6,62.1,5.9,296,5.3,1569,3,3,10,,Fred Taylor,TaylFr00
2005,29,JAX,RB,11,11,194,787,3,29,37.6,71,4.1,71.5,17.6,18,13,83,6.4,0,4,44.4,13,1.2,7.5,72.2,4.6,207,4.2,870,3,0,7,,Fred Taylor,TaylFr00
2006,30,JAX,RB,15,15,231,1146,5,47,42.9,76,5.0,76.4,15.4,28,23,242,10.5,1,8,60.7,36,1.5,16.1,82.1,8.6,254,5.5,1388,6,3,12,,Fred Taylor,TaylFr00
2007,31,JAX,RB,15,15,223,1202,5,45,44.4,80,5.4,80.1,14.9,14,9,58,6.4,0,2,35.7,18,0.6,3.9,64.3,4.1,232,5.4,1260,5,2,12,"PB,AP-2",Fred Taylor,TaylFr00
2008,32,JAX,RB,13,13,143,556,1,24,38.5,34,3.9,42.8,11.0,22,16,98,6.1,0,2,50.0,17,1.2,7.5,72.7,4.5,159,4.1,654,1,1,4,,Fred Taylor,TaylFr00
2009,33,NWE,RB,6,1,63,269,4,13,54.0,19,4.3,44.8,10.5,3,2,17,8.5,0,1,66.7,13,0.3,2.8,66.7,5.7,65,4.4,286,4,1,2,,Fred Taylor,TaylFr00
2010,34,NWE,RB,7,0,43,155,0,9,39.5,24,3.6,22.1,6.1,3,2,6,3.0,0,0,33.3,7,0.3,0.9,66.7,2.0,45,3.6,161,0,0,1,,Fred Taylor,TaylFr00
