Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2008,22,KAN,RB,16,2,67,357,0,18,52.2,30,5.3,22.3,4.2,39,27,272,10.1,1,9,25.6,75,1.7,17.0,69.2,7.0,94,6.7,629,1,2,5,,Jamaal Charles,CharJa00
2009,23,KAN,RB,15,10,190,1120,7,54,54.2,76,5.9,74.7,12.7,55,40,297,7.4,1,11,36.4,49,2.7,19.8,72.7,5.4,230,6.2,1417,8,4,9,,Jamaal Charles,CharJa00
2010,24,KAN,RB,16,6,230,1467,5,70,54.8,80,6.4,91.7,14.4,64,45,468,10.4,3,22,51.6,31,2.8,29.3,70.3,7.3,275,7.0,1935,8,3,17,"PB,AP-1",Jamaal Charles,CharJa00
2011,25,KAN,RB,2,1,12,83,0,3,50.0,24,6.9,41.5,6.0,6,5,9,1.8,1,2,33.3,9,2.5,4.5,83.3,1.5,17,5.4,92,1,1,0,,Jamaal Charles,CharJa00
2012,26,KAN,RB,16,15,285,1509,5,63,46.7,91,5.3,94.3,17.8,49,35,236,6.7,1,11,42.9,22,2.2,14.8,71.4,4.8,320,5.5,1745,6,5,9,"PB,AP-2,AP CPoY-3",Jamaal Charles,CharJa00
2013,27,KAN,RB,15,15,259,1287,12,72,49.4,46,5.0,85.8,17.3,104,70,693,9.9,7,32,44.2,71,4.7,46.2,67.3,6.7,329,6.0,1980,19,4,16,"PB,AP-1,AP OPoY-3",Jamaal Charles,CharJa00
2014,28,KAN,RB,15,15,206,1033,9,51,52.9,63,5.0,68.9,13.7,59,40,291,7.3,5,16,37.3,30,2.7,19.4,67.8,4.9,246,5.4,1324,14,5,12,PB,Jamaal Charles,CharJa00
2015,29,KAN,RB,5,5,71,364,4,22,46.5,34,5.1,72.8,14.2,29,21,177,8.4,1,10,44.8,26,4.2,35.4,72.4,6.1,92,5.9,541,5,3,4,,Jamaal Charles,CharJa00
2016,30,KAN,RB,3,0,12,40,1,3,41.7,17,3.3,13.3,4.0,3,2,14,7.0,0,1,33.3,16,0.7,4.7,66.7,4.7,14,3.9,54,1,0,0,,Jamaal Charles,CharJa00
2017,31,DEN,RB,14,0,69,296,1,17,50.7,19,4.3,21.1,4.9,28,23,129,5.6,0,6,28.6,20,1.6,9.2,82.1,4.6,92,4.6,425,1,2,2,,Jamaal Charles,CharJa00
2018,32,JAX,RB,2,0,6,7,0,0,0.0,5,1.2,3.5,3.0,3,2,7,3.5,0,0,33.3,5,1.0,3.5,66.7,2.3,8,1.8,14,0,0,0,,Jamaal Charles,CharJa00
