Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,Sfty,awards,Player,PlayerID
1993,21,RAM,RB,16,12,0,0,0,0,,0,4,0,0,0,0.0,0,0,0,,0,"PB,AP-1,AP ORoY-1",Jerome Bettis,BettJe00
1994,22,RAM,RB,16,16,0,0,0,0,,0,5,3,0,0,0.0,0,0,0,,0,PB,Jerome Bettis,BettJe00
1995,23,STL,RB,15,13,0,0,0,0,,0,4,2,0,0,0.0,0,0,0,,0,,Jerome Bettis,BettJe00
1996,24,PIT,RB,16,12,0,0,0,0,,0,7,2,0,0,0.0,0,0,0,,0,"PB,AP-1,AP MVP-4,AP OPoY-4",Jerome Bettis,BettJe00
1997,25,PIT,RB,15,15,0,0,0,0,,0,6,1,0,0,0.0,0,0,0,,0,"PB,AP-2,AP MVP-5",Jerome Bettis,BettJe00
1998,26,PIT,RB,15,15,0,0,0,0,,0,2,0,0,0,0.0,0,0,0,,0,,Jerome Bettis,BettJe00
1999,27,PIT,RB,16,16,0,0,0,0,0,0,2,3,1,0,0.0,0,0,0,0,0,,Jerome Bettis,BettJe00
2000,28,PIT,RB,16,16,0,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,,Jerome Bettis,BettJe00
2001,29,PIT,RB,11,11,0,0,0,0,0,0,3,2,0,0,0.0,0,0,0,0,0,PB,Jerome Bettis,BettJe00
2002,30,PIT,RB,13,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,,Jerome Bettis,BettJe00
2003,31,PIT,RB,16,10,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,,Jerome Bettis,BettJe00
2004,32,PIT,RB,15,6,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,"PB,AP CPoY-4",Jerome Bettis,BettJe00
