Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
1993,21,RAM,RB,16,12,294,1429,7,79,57.5,71,4.9,89.3,18.4,34,26,244,9.4,0,9,52.9,28,1.6,15.3,76.5,7.2,320,5.2,1673,7,4,12,"PB,AP-1,AP ORoY-1",Jerome Bettis,BettJe00
1994,22,RAM,RB,16,16,319,1025,3,53,43.3,19,3.2,64.1,19.9,46,31,293,9.5,1,16,47.8,34,1.9,18.3,67.4,6.4,350,3.8,1318,4,5,8,PB,Jerome Bettis,BettJe00
1995,23,STL,RB,15,13,183,637,3,24,37.2,41,3.5,42.5,12.2,23,18,106,5.9,0,4,34.8,19,1.2,7.1,78.3,4.6,201,3.7,743,3,4,4,,Jerome Bettis,BettJe00
1996,24,PIT,RB,16,12,320,1431,11,76,51.3,50,4.5,89.4,20.0,32,22,122,5.5,0,6,37.5,16,1.4,7.6,68.8,3.8,342,4.5,1553,11,7,12,"PB,AP-1,AP MVP-4,AP OPoY-4",Jerome Bettis,BettJe00
1997,25,PIT,RB,15,15,375,1665,7,94,52.0,34,4.4,111.0,25.0,24,15,110,7.3,2,5,37.5,19,1.0,7.3,62.5,4.6,390,4.6,1775,9,6,15,"PB,AP-2,AP MVP-5",Jerome Bettis,BettJe00
1998,26,PIT,RB,15,15,316,1185,3,58,42.1,42,3.8,79.0,21.1,23,16,90,5.6,0,2,43.5,26,1.1,6.0,69.6,3.9,332,3.8,1275,3,2,6,,Jerome Bettis,BettJe00
1999,27,PIT,RB,16,16,299,1091,7,64,46.2,35,3.6,68.2,18.7,28,21,110,5.2,0,2,39.3,17,1.3,6.9,75.0,3.9,320,3.8,1201,7,2,9,,Jerome Bettis,BettJe00
2000,28,PIT,RB,16,16,355,1341,8,72,47.3,30,3.8,83.8,22.2,19,13,97,7.5,0,5,47.4,25,0.8,6.1,68.4,5.1,368,3.9,1438,8,1,10,,Jerome Bettis,BettJe00
2001,29,PIT,RB,11,11,225,1072,4,46,43.1,48,4.8,97.5,20.5,10,8,48,6.0,0,2,40.0,16,0.7,4.4,80.0,4.8,233,4.8,1120,4,3,9,PB,Jerome Bettis,BettJe00
2002,30,PIT,RB,13,11,187,666,9,42,46.5,41,3.6,51.2,14.4,9,7,57,8.1,0,3,66.7,15,0.5,4.4,77.8,6.3,194,3.7,723,9,1,5,,Jerome Bettis,BettJe00
2003,31,PIT,RB,16,10,246,811,7,44,46.7,21,3.3,50.7,15.4,22,13,86,6.6,0,5,36.4,16,0.8,5.4,59.1,3.9,259,3.5,897,7,5,4,,Jerome Bettis,BettJe00
2004,32,PIT,RB,15,6,250,941,13,50,48.0,29,3.8,62.7,16.7,8,6,46,7.7,0,2,50.0,20,0.4,3.1,75.0,5.8,256,3.9,987,13,1,7,"PB,AP CPoY-4",Jerome Bettis,BettJe00
2005,33,PIT,RB,12,0,110,368,9,30,50.0,39,3.3,30.7,9.2,4,4,40,10.0,0,2,100.0,16,0.3,3.3,100.0,10.0,114,3.6,408,9,0,3,,Jerome Bettis,BettJe00
