Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2001,22,SDG,RB,16,16,339,1236,10,68,43.7,54,3.6,77.3,21.2,74,59,367,6.2,0,12,47.3,27,3.7,22.9,79.7,5.0,398,4.0,1603,10,8,10,AP ORoY-2,LaDainian Tomlinson,TomlLa00
2002,23,SDG,RB,16,16,372,1683,14,96,44.6,76,4.5,105.2,23.3,101,79,489,6.2,1,21,44.6,30,4.9,30.6,78.2,4.8,451,4.8,2172,15,3,15,"PB,AP-2",LaDainian Tomlinson,TomlLa00
2003,24,SDG,RB,16,16,313,1645,13,83,43.1,73,5.3,102.8,19.6,137,100,725,7.3,4,26,32.1,73,6.3,45.3,73.0,5.3,413,5.7,2370,17,2,19,"AP-2,AP OPoY-2",LaDainian Tomlinson,TomlLa00
2004,25,SDG,RB,15,15,339,1335,17,74,43.4,42,3.9,89.0,22.6,66,53,441,8.3,1,16,40.9,74,3.5,29.4,80.3,6.7,392,4.5,1776,18,6,18,"PB,AP-1,AP OPoY-5",LaDainian Tomlinson,TomlLa00
2005,26,SDG,RB,16,16,339,1462,18,72,46.9,62,4.3,91.4,21.2,77,51,370,7.3,2,15,33.8,41,3.2,23.1,66.2,4.8,390,4.7,1832,20,3,18,"PB,AP-2",LaDainian Tomlinson,TomlLa00
2006,27,SDG,RB,16,16,348,1815,28,83,47.7,85,5.2,113.4,21.8,80,56,508,9.1,3,23,48.8,51,3.5,31.8,70.0,6.4,404,5.8,2323,31,2,26,"PB,AP-1,AP MVP-1,AP OPoY-1",LaDainian Tomlinson,TomlLa00
2007,28,SDG,RB,16,16,315,1474,15,75,44.1,49,4.7,92.1,19.7,86,60,475,7.9,3,20,38.4,36,3.8,29.7,69.8,5.5,375,5.2,1949,18,0,18,"PB,AP-1",LaDainian Tomlinson,TomlLa00
2008,29,SDG,RB,16,16,292,1110,11,52,43.2,45,3.8,69.4,18.3,77,52,426,8.2,1,18,44.2,32,3.3,26.6,67.5,5.5,344,4.5,1536,12,1,14,,LaDainian Tomlinson,TomlLa00
2009,30,SDG,RB,14,14,223,730,12,40,42.2,36,3.3,52.1,15.9,30,20,154,7.7,0,8,33.3,36,1.4,11.0,66.7,5.1,243,3.6,884,12,2,7,,LaDainian Tomlinson,TomlLa00
2010,31,NYJ,RB,15,13,219,914,6,43,43.4,31,4.2,60.9,14.6,79,52,368,7.1,0,19,45.6,21,3.5,24.5,65.8,4.7,271,4.7,1282,6,4,8,,LaDainian Tomlinson,TomlLa00
2011,32,NYJ,RB,14,1,75,280,1,15,45.3,20,3.7,20.0,5.4,61,42,449,10.7,2,12,31.1,74,3.0,32.1,68.9,7.4,117,6.2,729,3,0,5,,LaDainian Tomlinson,TomlLa00
