Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
2011,22,NOR,RB,10,4,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,,,0,,Mark Ingram,IngrMa01
2012,23,NOR,RB,16,5,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,,Mark Ingram,IngrMa01
2014,25,NOR,RB,13,9,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,PB,Mark Ingram,IngrMa01
2015,26,NOR,RB,12,10,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,Mark Ingram,IngrMa01
2016,27,NOR,RB,16,14,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,,Mark Ingram,IngrMa01
2017,28,NOR,RB,16,12,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,,,0,PB,Mark Ingram,IngrMa01
2018,29,NOR,RB,12,6,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,Mark Ingram,IngrMa01
2019,30,BAL,RB,15,15,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,PB,Mark Ingram,IngrMa01
2020,31,BAL,RB,11,9,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,,Mark Ingram,IngrMa01
2021,32,2TM,RB,14,10,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,,Mark Ingram,IngrMa01
2022,33,NOR,RB,10,3,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,Mark Ingram,IngrMa01
