Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2011,22,NOR,RB,10,4,122,474,5,29,53.3,35,3.9,47.4,12.2,13,11,46,4.2,0,3,46.2,9,1.1,4.6,84.6,3.5,133,3.9,520,5,1,4,,Mark Ingram,IngrMa01
2012,23,NOR,RB,16,5,156,602,5,29,47.4,31,3.9,37.6,9.8,10,6,29,4.8,0,2,30.0,16,0.4,1.8,60.0,2.9,162,3.9,631,5,0,4,,Mark Ingram,IngrMa01
2013,24,NOR,RB,11,3,78,386,1,18,46.2,34,4.9,35.1,7.1,11,7,68,9.7,0,3,45.5,23,0.6,6.2,63.6,6.2,85,5.3,454,1,0,3,,Mark Ingram,IngrMa01
2014,25,NOR,RB,13,9,226,964,9,52,49.1,31,4.3,74.2,17.4,36,29,145,5.0,0,5,38.9,14,2.2,11.2,80.6,4.0,255,4.3,1109,9,3,8,PB,Mark Ingram,IngrMa01
2015,26,NOR,RB,12,10,166,769,6,47,43.4,70,4.6,64.1,13.8,60,50,405,8.1,0,22,53.3,59,4.2,33.8,83.3,6.8,216,5.4,1174,6,2,8,,Mark Ingram,IngrMa01
2016,27,NOR,RB,16,14,205,1043,6,50,57.1,75,5.1,65.2,12.8,58,46,319,6.9,4,18,53.4,22,2.9,19.9,79.3,5.5,251,5.4,1362,10,2,11,,Mark Ingram,IngrMa01
2017,28,NOR,RB,16,12,230,1124,12,52,47.4,72,4.9,70.3,14.4,71,58,416,7.2,0,19,45.1,54,3.6,26.0,81.7,5.9,288,5.3,1540,12,3,14,PB,Mark Ingram,IngrMa01
2018,29,NOR,RB,12,6,138,645,6,34,53.6,38,4.7,53.8,11.5,27,21,170,8.1,1,5,37.0,28,1.8,14.2,77.8,6.3,159,5.1,815,7,3,7,,Mark Ingram,IngrMa01
2019,30,BAL,RB,15,15,202,1018,10,53,58.4,53,5.0,67.9,13.5,29,26,247,9.5,5,16,62.1,25,1.7,16.5,89.7,8.5,228,5.5,1265,15,2,12,PB,Mark Ingram,IngrMa01
2020,31,BAL,RB,11,9,72,299,2,14,47.2,30,4.2,27.2,6.5,8,6,50,8.3,0,2,37.5,18,0.5,4.5,75.0,6.3,78,4.5,349,2,0,3,,Mark Ingram,IngrMa01
2021,32,2TM,RB,14,10,160,554,2,23,38.1,28,3.5,39.6,11.4,35,27,162,6.0,0,9,45.7,34,1.9,11.6,77.1,4.6,187,3.8,716,2,1,5,,Mark Ingram,IngrMa01
2022,33,NOR,RB,10,3,62,233,1,12,46.8,14,3.8,23.3,6.2,18,16,68,4.3,0,2,33.3,11,1.6,6.8,88.9,3.8,78,3.9,301,1,2,2,,Mark Ingram,IngrMa01
