Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2007,21,BUF,RB,13,13,280,1115,7,55,44.3,56,4.0,85.8,21.5,26,18,184,10.2,0,11,57.7,30,1.4,14.2,69.2,7.1,298,4.4,1299,7,2,7,,Marshawn Lynch,LyncMa00
2008,22,BUF,RB,15,15,250,1036,8,53,46.8,50,4.1,69.1,16.7,67,47,300,6.4,1,15,35.8,42,3.1,20.0,70.1,4.5,297,4.5,1336,9,2,9,PB,Marshawn Lynch,LyncMa00
2009,23,BUF,RB,13,6,120,450,2,18,37.5,47,3.8,34.6,9.2,37,28,179,6.4,0,6,27.0,35,2.2,13.8,75.7,4.8,148,4.3,629,2,3,4,,Marshawn Lynch,LyncMa00
2010,24,2TM,RB,16,14,202,737,6,38,44.1,39,3.6,46.1,12.6,26,22,145,6.6,0,5,65.4,22,1.4,9.1,84.6,5.6,224,3.9,882,6,4,6,,Marshawn Lynch,LyncMa00
2011,25,SEA,RB,15,15,285,1204,12,65,43.5,47,4.2,80.3,19.0,41,28,212,7.6,1,8,36.6,26,1.9,14.1,68.3,5.2,313,4.5,1416,13,3,9,PB,Marshawn Lynch,LyncMa00
2012,26,SEA,RB,16,15,315,1590,11,70,48.6,77,5.0,99.4,19.7,30,23,196,8.5,1,11,60.0,27,1.4,12.3,76.7,6.5,338,5.3,1786,12,5,15,"PB,AP-1",Marshawn Lynch,LyncMa00
2013,27,SEA,RB,16,16,301,1257,12,73,48.2,43,4.2,78.6,18.8,44,36,316,8.8,2,12,40.9,55,2.3,19.8,81.8,7.2,337,4.7,1573,14,4,13,PB,Marshawn Lynch,LyncMa00
2014,28,SEA,RB,16,14,280,1306,13,67,52.1,79,4.7,81.6,17.5,48,37,367,9.9,4,16,45.8,39,2.3,22.9,77.1,7.6,317,5.3,1673,17,3,13,"PB,AP-2",Marshawn Lynch,LyncMa00
2015,29,SEA,RB,7,6,111,417,3,29,46.8,24,3.8,59.6,15.9,21,13,80,6.2,0,5,28.6,19,1.9,11.4,61.9,3.8,124,4.0,497,3,0,4,,Marshawn Lynch,LyncMa00
2017,31,OAK,RB,15,15,207,891,7,45,47.8,51,4.3,59.4,13.8,31,20,151,7.6,0,6,35.5,26,1.3,10.1,64.5,4.9,227,4.6,1042,7,1,7,AP CPoY-6,Marshawn Lynch,LyncMa00
2018,32,OAK,RB,6,6,90,376,3,20,53.3,52,4.2,62.7,15.0,20,15,84,5.6,0,6,40.0,17,2.5,14.0,75.0,4.2,105,4.4,460,3,0,3,,Marshawn Lynch,LyncMa00
2019,33,SEA,RB,1,0,12,34,1,2,33.3,15,2.8,34.0,12.0,0,0,0,,0,0,,,0.0,0.0,,,12,2.8,34,1,0,0,,Marshawn Lynch,LyncMa00
