Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
2008,23,CHI,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP ORoY-4,Matt Forte,FortMa00
2009,24,CHI,RB,16,16,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,,Matt Forte,FortMa00
2010,25,CHI,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,Matt Forte,FortMa00
2011,26,CHI,RB,12,12,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB,Matt Forte,FortMa00
2012,27,CHI,RB,15,15,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,Matt Forte,FortMa00
2013,28,CHI,RB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB,Matt Forte,FortMa00
2014,29,CHI,RB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,Matt Forte,FortMa00
2015,30,CHI,RB,13,13,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,Matt Forte,FortMa00
2016,31,NYJ,RB,14,13,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,,Matt Forte,FortMa00
2017,32,NYJ,RB,12,4,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,Matt Forte,FortMa00
