Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2008,23,CHI,RB,16,16,316,1238,8,65,40.5,50,3.9,77.4,19.8,76,63,477,7.6,4,23,60.5,19,3.9,29.8,82.9,6.3,379,4.5,1715,12,1,12,AP ORoY-4,Matt Forte,FortMa00
2009,24,CHI,RB,16,16,258,929,4,41,41.1,61,3.6,58.1,16.1,72,57,471,8.3,0,17,37.5,37,3.6,29.4,79.2,6.5,315,4.4,1400,4,6,9,,Matt Forte,FortMa00
2010,25,CHI,RB,16,16,237,1069,6,43,40.9,68,4.5,66.8,14.8,70,51,547,10.7,3,21,48.6,89,3.2,34.2,72.9,7.8,288,5.6,1616,9,3,13,,Matt Forte,FortMa00
2011,26,CHI,RB,12,12,203,997,3,41,43.8,46,4.9,83.1,16.9,76,52,490,9.4,1,20,38.2,56,4.3,40.8,68.4,6.4,255,5.8,1487,4,2,11,PB,Matt Forte,FortMa00
2012,27,CHI,RB,15,15,248,1094,5,45,41.5,46,4.4,72.9,16.5,59,44,340,7.7,1,15,33.9,47,2.9,22.7,74.6,5.8,292,4.9,1434,6,2,11,,Matt Forte,FortMa00
2013,28,CHI,RB,16,16,289,1339,9,73,42.2,55,4.6,83.7,18.1,95,74,594,8.0,3,26,48.4,34,4.6,37.1,77.9,6.3,363,5.3,1933,12,2,15,PB,Matt Forte,FortMa00
2014,29,CHI,RB,16,16,266,1038,6,65,48.9,32,3.9,64.9,16.6,130,102,808,7.9,4,28,46.2,56,6.4,50.5,78.5,6.2,368,5.0,1846,10,2,13,,Matt Forte,FortMa00
2015,30,CHI,RB,13,13,218,898,4,47,48.2,27,4.1,69.1,16.8,58,44,389,8.8,3,17,50.0,38,3.4,29.9,75.9,6.7,262,4.9,1287,7,2,8,,Matt Forte,FortMa00
2016,31,NYJ,RB,14,13,218,813,7,36,40.4,32,3.7,58.1,15.6,43,30,263,8.8,1,10,48.8,40,2.1,18.8,69.8,6.1,248,4.3,1076,8,1,5,,Matt Forte,FortMa00
2017,32,NYJ,RB,12,4,103,381,2,13,40.8,20,3.7,31.8,8.6,45,37,293,7.9,1,14,46.7,34,3.1,24.4,82.2,6.5,140,4.8,674,3,1,5,,Matt Forte,FortMa00
