Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
1997,24,BAL,RB,7,0,0,0,0,0,,,,0.0,0.0,0,0,0,,0,0,,,0.0,0.0,,,0,,0,0,0,0,,Priest Holmes,HolmPr00
1998,25,BAL,RB,16,13,233,1008,7,54,44.6,56,4.3,63.0,14.6,62,43,260,6.0,0,10,29.0,25,2.7,16.3,69.4,4.2,276,4.6,1268,7,3,8,,Priest Holmes,HolmPr00
1999,26,BAL,RB,9,4,89,506,1,20,52.8,72,5.7,56.2,9.9,17,13,104,8.0,1,6,47.1,34,1.4,11.6,76.5,6.1,102,6.0,610,2,0,4,,Priest Holmes,HolmPr00
2000,27,BAL,RB,16,2,137,588,2,38,51.1,21,4.3,36.8,8.6,46,32,221,6.9,0,11,39.1,27,2.0,13.8,69.6,4.8,169,4.8,809,2,2,6,,Priest Holmes,HolmPr00
2001,28,KAN,RB,16,16,327,1555,8,81,50.5,41,4.8,97.2,20.4,75,62,614,9.9,2,21,49.3,67,3.9,38.4,82.7,8.2,389,5.6,2169,10,4,17,"PB,AP-1,AP OPoY-4",Priest Holmes,HolmPr00
2002,29,KAN,RB,14,14,313,1615,21,105,54.3,56,5.2,115.4,22.4,81,70,672,9.6,3,31,56.8,64,5.0,48.0,86.4,8.3,383,6.0,2287,24,1,23,"PB,AP-1,AP MVP-4,AP OPoY-1",Priest Holmes,HolmPr00
2003,30,KAN,RB,16,16,320,1420,27,90,57.5,31,4.4,88.8,20.0,90,74,690,9.3,0,35,56.7,36,4.6,43.1,82.2,7.7,394,5.4,2110,27,1,20,"PB,AP-1,AP MVP-5,AP OPoY-4,AP CPoY-11",Priest Holmes,HolmPr00
2004,31,KAN,RB,8,8,196,892,14,59,53.1,33,4.6,111.5,24.5,25,19,187,9.8,1,8,36.0,52,2.4,23.4,76.0,7.5,215,5.0,1079,15,4,8,,Priest Holmes,HolmPr00
2005,32,KAN,RB,7,7,119,451,6,30,43.7,35,3.8,64.4,17.0,32,21,197,9.4,1,7,43.8,60,3.0,28.1,65.6,6.2,140,4.6,648,7,1,5,,Priest Holmes,HolmPr00
2007,34,KAN,RB,4,2,46,137,0,6,37.0,11,3.0,34.3,11.5,10,5,17,3.4,0,0,30.0,8,1.3,4.3,50.0,1.7,51,3.0,154,0,0,1,,Priest Holmes,HolmPr00
