Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2015,23,3TM,RB,11,0,0,0,0,0,,,,0.0,0.0,0,0,0,,0,0,,,0.0,0.0,,,0,,0,0,1,0,,Raheem Mostert,MostRa00
2016,24,2TM,RB,3,0,1,6,0,0,100.0,6,6.0,2.0,0.3,0,0,0,,0,0,,,0.0,0.0,,,1,6.0,6,0,0,0,,Raheem Mostert,MostRa00
2017,25,SFO,RB,11,0,6,30,0,1,50.0,16,5.0,2.7,0.5,0,0,0,,0,0,,,0.0,0.0,,,6,5.0,30,0,1,0,,Raheem Mostert,MostRa00
2018,26,SFO,RB,9,0,34,261,1,13,64.7,52,7.7,29.0,3.8,7,6,25,4.2,0,1,28.6,23,0.7,2.8,85.7,3.6,40,7.2,286,1,1,2,,Raheem Mostert,MostRa00
2019,27,SFO,RB,16,0,137,772,8,31,48.9,41,5.6,48.3,8.6,22,14,180,12.9,2,6,40.9,39,0.9,11.3,63.6,8.2,151,6.3,952,10,2,8,,Raheem Mostert,MostRa00
2020,28,SFO,RB,8,8,104,521,2,22,49.0,80,5.0,65.1,13.0,19,16,156,9.8,1,5,52.6,76,2.0,19.5,84.2,8.2,120,5.6,677,3,1,4,,Raheem Mostert,MostRa00
2021,29,SFO,RB,1,1,2,20,0,1,100.0,11,10.0,20.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,10.0,20,0,0,0,,Raheem Mostert,MostRa00
2022,30,MIA,RB,16,14,181,891,3,44,55.2,67,4.9,55.7,11.3,42,31,202,6.5,2,11,47.6,25,1.9,12.6,73.8,4.8,212,5.2,1093,5,1,7,,Raheem Mostert,MostRa00
2023,31,MIA,RB,15,15,209,1012,18,59,55.0,49,4.8,67.5,13.9,32,25,175,7.0,3,6,40.6,22,1.7,11.7,78.1,5.5,234,5.1,1187,21,4,9,PB,Raheem Mostert,MostRa00
2024,32,MIA,RB,13,1,85,278,2,13,37.6,21,3.3,21.4,6.5,23,19,161,8.5,0,10,52.2,25,1.5,12.4,82.6,7.0,104,4.2,439,2,2,3,,Raheem Mostert,MostRa00
2025,33,LVR,RB,12,0,22,104,0,5,40.9,37,4.7,8.7,1.8,12,12,70,5.8,0,6,58.3,18,1.0,5.8,100.0,5.8,34,5.1,174,0,0,1,,Raheem Mostert,MostRa00
