Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2015,23,3TM,RB,,11,0,2,,0,,152,,Raheem Mostert,MostRa00
2016,24,2TM,RB,,3,0,4,,0,,40,,Raheem Mostert,MostRa00
2017,25,SFO,RB,31,11,0,15,2%,0,0%,204,64%,Raheem Mostert,MostRa00
2018,26,SFO,RB,31,9,0,90,15%,0,0%,157,59%,Raheem Mostert,MostRa00
2019,27,SFO,RB,31,16,0,362,34%,0,0%,201,46%,Raheem Mostert,MostRa00
2020,28,SFO,RB,31,8,8,237,43%,0,0%,0,0%,Raheem Mostert,MostRa00
2021,29,SFO,RB,31,1,1,4,7%,0,0%,0,0%,Raheem Mostert,MostRa00
2022,30,MIA,RB,31,16,14,552,56%,0,0%,75,18%,Raheem Mostert,MostRa00
2024,32,MIA,RB,31,13,1,278,32%,0,0%,34,10%,Raheem Mostert,MostRa00
2025,33,LVR,RB,31,12,0,137,20%,0,0%,62,22%,Raheem Mostert,MostRa00
