Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,safety_md,av,awards,Player,PlayerID
1975,22,DAL,NFL,DE,14,1,0,0,0,0,,0,2,0,0,6.0,,,,0,2,,Randy White,WhitRa00
1976,23,DAL,NFL,LB,14,0,0,0,0,0,,0,1,0,0,5.0,,,,0,4,,Randy White,WhitRa00
1977,24,DAL,NFL,RDT,14,14,0,0,0,0,,0,2,0,0,12.5,,,,0,10,,Randy White,WhitRa00
1978,25,DAL,NFL,RDT,16,16,0,0,0,0,2.0,0,0,0,0,16.0,0.0,0.0,0.0,0,14,,Randy White,WhitRa00
1979,26,DAL,NFL,RDT,15,14,0,0,0,0,4.0,0,1,0,0,5.0,0.0,0.0,0.0,0,12,,Randy White,WhitRa00
1980,27,DAL,NFL,RDT,16,16,0,0,0,0,3.0,0,0,0,0,6.0,0.0,0.0,0.0,0,11,,Randy White,WhitRa00
1981,28,DAL,NFL,RDT,16,16,0,0,0,0,2.0,0,0,0,0,8.5,0.0,0.0,0.0,0,15,,Randy White,WhitRa00
1982,29,DAL,NFL,RDT,9,9,0,0,0,0,1.0,0,1,0,0,2.5,0.0,0.0,0.0,0,17,,Randy White,WhitRa00
1983,30,DAL,NFL,RDT,16,16,0,0,0,0,1.0,0,1,0,0,12.5,0.0,0.0,0.0,0,15,,Randy White,WhitRa00
1984,31,DAL,NFL,RDT,16,16,0,0,0,0,7.0,0,0,0,0,12.5,0.0,0.0,0.0,0,18,,Randy White,WhitRa00
1985,32,DAL,NFL,RDT,16,16,0,0,0,0,2.0,0,0,0,0,10.5,0.0,0.0,0.0,0,15,,Randy White,WhitRa00
1986,33,DAL,NFL,RDT,16,16,0,0,0,0,0.0,0,2,0,0,6.5,0.0,0.0,0.0,0,9,,Randy White,WhitRa00
1987,34,DAL,NFL,RDT,15,14,1,0,0,0,0.0,0,0,0,0,6.0,0.0,0.0,0.0,0,7,,Randy White,WhitRa00
1988,35,DAL,NFL,DT,16,1,0,0,0,0,0.0,0,0,0,0,1.5,0.0,0.0,0.0,0,1,,Randy White,WhitRa00
