Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
1999,22,NOR,RB,12,12,253,884,2,51,41.9,25,3.5,73.7,21.1,40,28,172,6.1,0,8,30.0,29,2.3,14.3,70.0,4.3,281,3.8,1056,2,6,5,,Ricky Williams,WillRi00
2000,23,NOR,RB,10,10,248,1000,8,56,44.4,26,4.0,100.0,24.8,55,44,409,9.3,1,19,60.0,24,4.4,40.9,80.0,7.4,292,4.8,1409,9,6,11,,Ricky Williams,WillRi00
2001,24,NOR,RB,16,16,313,1245,6,61,41.9,46,4.0,77.8,19.6,88,60,511,8.5,1,19,40.9,42,3.8,31.9,68.2,5.8,373,4.7,1756,7,8,14,,Ricky Williams,WillRi00
2002,25,MIA,RB,16,16,383,1853,16,94,48.6,63,4.8,115.8,23.9,59,47,363,7.7,1,16,49.2,52,2.9,22.7,79.7,6.2,430,5.2,2216,17,7,19,"PB,AP-1,AP OPoY-4",Ricky Williams,WillRi00
2003,26,MIA,RB,16,16,392,1372,9,68,36.7,45,3.5,85.8,24.5,62,50,351,7.0,1,12,41.9,59,3.1,21.9,80.6,5.7,442,3.9,1723,10,7,11,,Ricky Williams,WillRi00
2005,28,MIA,RB,12,3,168,743,6,39,45.8,35,4.4,61.9,14.0,20,17,93,5.5,0,3,45.0,19,1.4,7.8,85.0,4.7,185,4.5,836,6,1,6,AP CPoY-5,Ricky Williams,WillRi00
2007,30,MIA,RB,1,0,6,15,0,2,50.0,6,2.5,15.0,6.0,0,0,0,,0,0,,,0.0,0.0,,,6,2.5,15,0,1,0,,Ricky Williams,WillRi00
2008,31,MIA,RB,16,3,160,659,4,36,45.6,51,4.1,41.2,10.0,39,29,219,7.6,1,10,38.5,47,1.8,13.7,74.4,5.6,189,4.6,878,5,5,7,,Ricky Williams,WillRi00
2009,32,MIA,RB,16,7,241,1121,11,55,53.9,68,4.7,70.1,15.1,53,35,264,7.5,2,9,41.5,59,2.2,16.5,66.0,5.0,276,5.0,1385,13,5,10,,Ricky Williams,WillRi00
2010,33,MIA,RB,16,0,159,673,2,26,49.1,45,4.2,42.1,9.9,30,19,141,7.4,1,5,40.0,28,1.2,8.8,63.3,4.7,178,4.6,814,3,4,4,,Ricky Williams,WillRi00
2011,34,BAL,RB,16,0,108,444,2,20,48.1,28,4.1,27.8,6.8,20,13,83,6.4,0,6,55.0,18,0.8,5.2,65.0,4.2,121,4.4,527,2,2,4,,Ricky Williams,WillRi00
