Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
2000,22,ARI,RB,14,4,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,,0,,Thomas Jones,JoneTh00
2001,23,ARI,RB,16,2,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,,0,,Thomas Jones,JoneTh00
2002,24,ARI,RB,9,9,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,,0,,Thomas Jones,JoneTh00
2003,25,TAM,RB,16,3,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,,0,,Thomas Jones,JoneTh00
2004,26,CHI,RB,14,14,0,0,0,0,0,0,2,0,0,0,0.0,,,,,,0,,Thomas Jones,JoneTh00
2005,27,CHI,RB,15,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,,0,,Thomas Jones,JoneTh00
2006,28,CHI,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,Thomas Jones,JoneTh00
2007,29,NYJ,RB,16,14,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,,Thomas Jones,JoneTh00
2008,30,NYJ,RB,16,14,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB,Thomas Jones,JoneTh00
2009,31,NYJ,RB,16,16,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,,Thomas Jones,JoneTh00
2010,32,KAN,RB,16,10,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,,,0,,Thomas Jones,JoneTh00
