Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,Sfty,awards,Player,PlayerID
1988,22,BUF,RB,15,15,0,0,0,0,,0,9,1,0,0,0.0,0,0,0,,0,,Thurman Thomas,ThomTh00
1989,23,BUF,RB,16,16,0,0,0,0,,0,7,2,0,0,0.0,0,0,0,,0,"PB,AP-2",Thurman Thomas,ThomTh00
1990,24,BUF,RB,16,16,0,0,0,0,,1,6,2,0,0,0.0,0,0,0,,0,"PB,AP-1",Thurman Thomas,ThomTh00
1991,25,BUF,RB,15,15,0,0,0,0,,0,5,0,0,0,0.0,0,0,0,,0,"PB,AP-1,AP MVP-1,AP OPoY-1",Thurman Thomas,ThomTh00
1992,26,BUF,RB,16,16,0,0,0,0,,0,6,1,0,0,0.0,0,0,0,,0,"PB,AP-2,AP OPoY-5",Thurman Thomas,ThomTh00
1993,27,BUF,RB,16,16,0,0,0,0,,0,6,1,0,0,0.0,0,0,0,,0,"PB,AP-2",Thurman Thomas,ThomTh00
1994,28,BUF,RB,15,15,0,0,0,0,,0,1,2,0,0,0.0,0,0,0,,0,,Thurman Thomas,ThomTh00
1995,29,BUF,RB,14,14,0,0,0,0,,0,6,0,0,0,0.0,0,0,0,,0,,Thurman Thomas,ThomTh00
1996,30,BUF,RB,15,15,0,0,0,0,,0,1,1,0,0,0.0,0,0,0,,0,,Thurman Thomas,ThomTh00
1997,31,BUF,RB,16,16,0,0,0,0,,0,2,0,0,0,0.0,0,0,0,,0,,Thurman Thomas,ThomTh00
2000,34,MIA,RB,9,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,,Thurman Thomas,ThomTh00
