Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
1997,22,NYG,RB,12,6,0,0,0,0,,0,3,0,0,0,0.0,0,0,0,,,0,AP ORoY-4,Tiki Barber,BarbTi00
1998,23,NYG,RB,16,4,0,0,0,0,,0,1,0,0,0,0.0,0,0,0,,,0,,Tiki Barber,BarbTi00
1999,24,NYG,RB,16,1,0,0,0,0,0,0,5,5,0,0,0.0,0,0,0,0,,0,,Tiki Barber,BarbTi00
2000,25,NYG,RB,16,12,0,0,0,0,0,0,9,5,0,0,0.0,0,0,0,0,,0,,Tiki Barber,BarbTi00
2001,26,NYG,RB,14,9,0,0,0,0,0,0,8,6,2,0,0.0,0,0,0,0,,0,,Tiki Barber,BarbTi00
2002,27,NYG,RB,16,15,0,0,0,0,0,0,9,1,0,0,0.0,0,0,0,0,,0,,Tiki Barber,BarbTi00
2003,28,NYG,RB,16,16,0,0,0,0,0,0,9,4,0,0,0.0,0,0,0,0,,0,,Tiki Barber,BarbTi00
2004,29,NYG,RB,16,14,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,,0,PB,Tiki Barber,BarbTi00
2005,30,NYG,RB,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,,0,"PB,AP-1,AP MVP-4,AP OPoY-3",Tiki Barber,BarbTi00
2006,31,NYG,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,PB,Tiki Barber,BarbTi00
