Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
1997,22,NYG,RB,12,6,136,511,3,31,43.4,42,3.8,42.6,11.3,54,34,299,8.8,1,13,42.6,29,2.8,24.9,63.0,5.5,170,4.8,810,4,3,6,AP ORoY-4,Tiki Barber,BarbTi00
1998,23,NYG,RB,16,4,52,166,0,8,36.5,23,3.2,10.4,3.3,59,42,348,8.3,3,13,39.0,87,2.6,21.8,71.2,5.9,94,5.5,514,3,1,4,,Tiki Barber,BarbTi00
1999,24,NYG,RB,16,1,62,258,0,13,41.9,30,4.2,16.1,3.9,91,66,609,9.2,2,32,51.6,56,4.1,38.1,72.5,6.7,128,6.8,867,2,5,7,,Tiki Barber,BarbTi00
2000,25,NYG,RB,16,12,213,1006,8,39,40.8,78,4.7,62.9,13.3,95,70,719,10.3,1,29,48.4,36,4.4,44.9,73.7,7.6,283,6.1,1725,9,9,15,,Tiki Barber,BarbTi00
2001,26,NYG,RB,14,9,166,865,4,40,47.0,36,5.2,61.8,11.9,98,72,577,8.0,0,30,50.0,44,5.1,41.2,73.5,5.9,238,6.1,1442,4,8,9,,Tiki Barber,BarbTi00
2002,27,NYG,RB,16,15,304,1387,11,71,41.4,70,4.6,86.7,19.0,95,69,597,8.7,0,24,44.2,38,4.3,37.3,72.6,6.3,373,5.3,1984,11,9,15,,Tiki Barber,BarbTi00
2003,28,NYG,RB,16,16,278,1216,2,68,47.5,27,4.4,76.0,17.4,98,69,461,6.7,1,26,43.9,36,4.3,28.8,70.4,4.7,347,4.8,1677,3,9,9,,Tiki Barber,BarbTi00
2004,29,NYG,RB,16,14,322,1518,13,82,47.2,72,4.7,94.9,20.1,79,52,578,11.1,2,20,45.6,62,3.3,36.1,65.8,7.3,374,5.6,2096,15,5,17,PB,Tiki Barber,BarbTi00
2005,30,NYG,RB,16,16,357,1860,9,74,47.9,95,5.2,116.3,22.3,70,54,530,9.8,2,22,55.7,48,3.4,33.1,77.1,7.6,411,5.8,2390,11,1,21,"PB,AP-1,AP MVP-4,AP OPoY-3",Tiki Barber,BarbTi00
2006,31,NYG,RB,16,16,327,1662,5,79,47.1,55,5.1,103.9,20.4,75,58,465,8.0,0,24,53.3,28,3.6,29.1,77.3,6.2,385,5.5,2127,5,3,19,PB,Tiki Barber,BarbTi00
