Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
2004,23,BUF,RB,16,11,0,0,0,0,0,0,4,0,0,0,0.0,,,,,,0,AP CPoY-3,Willis McGahee,McGaWi00
2005,24,BUF,RB,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0,,Willis McGahee,McGaWi00
2006,25,BUF,RB,14,14,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,,Willis McGahee,McGaWi00
2007,26,BAL,RB,15,15,0,0,0,0,0,0,4,1,-10,0,0.0,0,0,0,0,0,0,PB,Willis McGahee,McGaWi00
2008,27,BAL,RB,13,8,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,Willis McGahee,McGaWi00
2009,28,BAL,RB,16,1,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,Willis McGahee,McGaWi00
2010,29,BAL,RB,15,2,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,,Willis McGahee,McGaWi00
2011,30,DEN,RB,15,14,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,PB,Willis McGahee,McGaWi00
2012,31,DEN,RB,10,9,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,,Willis McGahee,McGaWi00
2013,32,CLE,RB,12,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,,Willis McGahee,McGaWi00
