Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2004,23,BUF,RB,16,11,284,1128,13,65,45.1,41,4.0,70.5,17.8,36,22,169,7.7,0,8,38.9,16,1.4,10.6,61.1,4.7,306,4.2,1297,13,4,10,AP CPoY-3,Willis McGahee,McGaWi00
2005,24,BUF,RB,16,15,325,1247,5,71,44.3,27,3.8,77.9,20.3,37,28,178,6.4,0,10,37.8,19,1.8,11.1,75.7,4.8,353,4.0,1425,5,1,11,,Willis McGahee,McGaWi00
2006,25,BUF,RB,14,14,259,990,6,50,45.2,57,3.8,70.7,18.5,28,18,156,8.7,0,4,39.3,56,1.3,11.1,64.3,5.6,277,4.1,1146,6,4,7,,Willis McGahee,McGaWi00
2007,26,BAL,RB,15,15,294,1207,7,57,41.5,46,4.1,80.5,19.6,49,43,231,5.4,1,10,44.9,30,2.9,15.4,87.8,4.7,337,4.3,1438,8,4,8,PB,Willis McGahee,McGaWi00
2008,27,BAL,RB,13,8,170,671,7,36,43.5,77,3.9,51.6,13.1,32,24,173,7.2,0,8,37.5,35,1.8,13.3,75.0,5.4,194,4.4,844,7,3,7,,Willis McGahee,McGaWi00
2009,28,BAL,RB,16,1,109,544,12,29,52.3,77,5.0,34.0,6.8,22,15,85,5.7,2,5,36.4,14,0.9,5.3,68.2,3.9,124,5.1,629,14,1,5,,Willis McGahee,McGaWi00
2010,29,BAL,RB,15,2,100,380,5,18,46.0,30,3.8,25.3,6.7,17,14,55,3.9,1,2,29.4,32,0.9,3.7,82.4,3.2,114,3.8,435,6,2,3,,Willis McGahee,McGaWi00
2011,30,DEN,RB,15,14,249,1199,4,53,46.2,60,4.8,79.9,16.6,20,12,51,4.3,1,3,30.0,12,0.8,3.4,60.0,2.6,261,4.8,1250,5,4,7,PB,Willis McGahee,McGaWi00
2012,31,DEN,RB,10,9,167,731,4,44,56.3,31,4.4,73.1,16.7,33,26,221,8.5,0,10,51.5,31,2.6,22.1,78.8,6.7,193,4.9,952,4,5,7,,Willis McGahee,McGaWi00
2013,32,CLE,RB,12,6,138,377,2,31,43.5,16,2.7,31.4,11.5,11,8,20,2.5,0,0,18.2,9,0.7,1.7,72.7,1.8,146,2.7,397,2,1,2,,Willis McGahee,McGaWi00
