Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2015,22,CIN,TE,5,0,1,1,4,4.0,0,1,100.0,4,0.2,0.8,100.0,4.0,0,0,0,0,0.0,0.0,1,4.0,4,0,0,0,,C.J. Uzomah,UzomC.00
2016,23,CIN,TE,10,8,38,25,234,9.4,1,14,52.6,54,2.5,23.4,65.8,6.2,0,0,0,0,0.0,0.0,25,9.4,234,1,0,2,,C.J. Uzomah,UzomC.00
2017,24,CIN,TE,14,4,15,10,92,9.2,1,7,53.3,21,0.7,6.6,66.7,6.1,0,0,0,0,0.0,0.0,10,9.2,92,1,0,1,,C.J. Uzomah,UzomC.00
2018,25,CIN,TE,16,15,64,43,439,10.2,3,21,57.8,29,2.7,27.4,67.2,6.9,0,0,0,0,0.0,0.0,43,10.2,439,3,0,4,,C.J. Uzomah,UzomC.00
2019,26,CIN,TE,16,16,40,27,242,9.0,2,12,55.0,36,1.7,15.1,67.5,6.1,0,0,0,0,0.0,0.0,27,9.0,242,2,0,2,,C.J. Uzomah,UzomC.00
2020,27,CIN,TE,2,2,11,8,87,10.9,1,6,63.6,23,4.0,43.5,72.7,7.9,0,0,0,0,0.0,0.0,8,10.9,87,1,0,1,,C.J. Uzomah,UzomC.00
2021,28,CIN,TE,16,16,63,49,493,10.1,5,31,54.0,55,3.1,30.8,77.8,7.8,0,0,0,0,0.0,0.0,49,10.1,493,5,0,4,,C.J. Uzomah,UzomC.00
2022,29,NYJ,TE,15,13,27,21,232,11.0,2,10,51.9,40,1.4,15.5,77.8,8.6,0,0,0,0,0.0,0.0,21,11.0,232,2,0,2,,C.J. Uzomah,UzomC.00
2023,30,NYJ,TE,12,8,12,8,58,7.3,1,5,58.3,19,0.7,4.8,66.7,4.8,0,0,0,0,0.0,0.0,8,7.3,58,1,0,0,,C.J. Uzomah,UzomC.00
2024,31,PHI,TE,7,3,0,0,0,,0,0,,,0.0,0.0,,,0,0,0,0,0.0,0.0,0,,0,0,0,0,,C.J. Uzomah,UzomC.00
