Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2015,22,CIN,TE,87,5,0,48,15%,0,0%,79,57%,C.J. Uzomah,UzomC.00
2016,23,CIN,TE,87,10,8,411,63%,0,0%,67,24%,C.J. Uzomah,UzomC.00
2017,24,CIN,TE,87,14,4,211,25%,0,0%,249,62%,C.J. Uzomah,UzomC.00
2018,25,CIN,TE,87,16,15,839,84%,0,0%,127,28%,C.J. Uzomah,UzomC.00
2019,26,CIN,TE,87,16,16,644,59%,0,0%,158,36%,C.J. Uzomah,UzomC.00
2020,27,CIN,TE,87,2,2,96,60%,0,0%,8,14%,C.J. Uzomah,UzomC.00
2021,28,CIN,TE,87,16,16,802,77%,0,0%,104,23%,C.J. Uzomah,UzomC.00
2022,29,NYJ,TE,87,15,13,525,53%,0,0%,181,44%,C.J. Uzomah,UzomC.00
2023,30,NYJ,TE,87,12,8,239,32%,0,0%,148,44%,C.J. Uzomah,UzomC.00
2024,31,PHI,TE,47,7,3,132,28%,0,0%,28,15%,C.J. Uzomah,UzomC.00
