Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2007,22,CHI,TE,14,4,66,39,391,10.0,2,19,43.9,31,2.8,27.9,59.1,5.9,0,0,0,0,0.0,0.0,39,10.0,391,2,0,3,,Greg Olsen,OlseGr00
2008,23,CHI,TE,16,7,82,54,574,10.6,5,33,56.1,52,3.4,35.9,65.9,7.0,0,0,0,0,0.0,0.0,54,10.6,574,5,2,5,,Greg Olsen,OlseGr00
2009,24,CHI,TE,16,15,108,60,612,10.2,8,33,42.6,41,3.8,38.3,55.6,5.7,0,0,0,0,0.0,0.0,60,10.2,612,8,0,5,,Greg Olsen,OlseGr00
2010,25,CHI,TE,16,13,70,41,404,9.9,5,22,50.0,39,2.6,25.3,58.6,5.8,0,0,0,0,0.0,0.0,41,9.9,404,5,2,4,,Greg Olsen,OlseGr00
2011,26,CAR,TE,16,13,89,45,540,12.0,5,27,41.6,44,2.8,33.8,50.6,6.1,0,0,0,0,0.0,0.0,45,12.0,540,5,1,5,,Greg Olsen,OlseGr00
2012,27,CAR,TE,16,16,104,69,843,12.2,5,44,54.8,47,4.3,52.7,66.3,8.1,0,0,0,0,0.0,0.0,69,12.2,843,5,0,7,,Greg Olsen,OlseGr00
2013,28,CAR,TE,16,16,111,73,816,11.2,6,45,54.1,31,4.6,51.0,65.8,7.4,0,0,0,0,0.0,0.0,73,11.2,816,6,0,8,,Greg Olsen,OlseGr00
2014,29,CAR,TE,16,16,123,84,1008,12.0,6,55,61.0,38,5.3,63.0,68.3,8.2,0,0,0,0,0.0,0.0,84,12.0,1008,6,1,8,PB,Greg Olsen,OlseGr00
2015,30,CAR,TE,16,16,124,77,1104,14.3,7,52,53.2,52,4.8,69.0,62.1,8.9,0,0,0,0,0.0,0.0,77,14.3,1104,7,1,13,"PB,AP-2",Greg Olsen,OlseGr00
2016,31,CAR,TE,16,16,129,80,1073,13.4,3,54,57.4,78,5.0,67.1,62.0,8.3,0,0,0,0,0.0,0.0,80,13.4,1073,3,0,8,"PB,AP-2",Greg Olsen,OlseGr00
2017,32,CAR,TE,7,7,38,17,191,11.2,1,13,36.8,30,2.4,27.3,44.7,5.0,0,0,0,0,0.0,0.0,17,11.2,191,1,0,2,,Greg Olsen,OlseGr00
2018,33,CAR,TE,9,9,38,27,291,10.8,4,18,65.8,23,3.0,32.3,71.1,7.7,0,0,0,0,0.0,0.0,27,10.8,291,4,0,3,,Greg Olsen,OlseGr00
2019,34,CAR,TE,14,14,82,52,597,11.5,2,34,53.7,41,3.7,42.6,63.4,7.3,0,0,0,0,0.0,0.0,52,11.5,597,2,0,4,,Greg Olsen,OlseGr00
2020,35,SEA,TE,11,8,37,24,239,10.0,1,16,59.5,22,2.2,21.7,64.9,6.5,0,0,0,0,0.0,0.0,24,10.0,239,1,0,2,,Greg Olsen,OlseGr00
