Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2009,22,TEN,TE,14,0,15,9,74,8.2,0,5,53.3,17,0.6,5.3,60.0,4.9,0,0,0,0,,,0.0,0.0,9,8.2,74,0,0,1,,Jared Cook,CookJa02
2010,23,TEN,TE,16,1,45,29,361,12.4,1,18,53.3,36,1.8,22.6,64.4,8.0,0,0,0,0,,,0.0,0.0,29,12.4,361,1,0,4,,Jared Cook,CookJa02
2011,24,TEN,TE,16,5,81,49,759,15.5,3,34,49.4,80,3.1,47.4,60.5,9.4,0,0,0,0,,,0.0,0.0,49,15.5,759,3,2,6,,Jared Cook,CookJa02
2012,25,TEN,TE,13,5,73,44,523,11.9,4,24,47.9,61,3.4,40.2,60.3,7.2,0,0,0,0,,,0.0,0.0,44,11.9,523,4,1,4,,Jared Cook,CookJa02
2013,26,STL,TE,16,13,85,51,671,13.2,5,34,52.9,47,3.2,41.9,60.0,7.9,0,0,0,0,,,0.0,0.0,51,13.2,671,5,1,6,,Jared Cook,CookJa02
2014,27,STL,TE,16,6,99,52,634,12.2,3,32,45.5,59,3.3,39.6,52.5,6.4,1,0,0,0,0.0,0.0,0.0,0.1,53,12.0,634,3,0,5,,Jared Cook,CookJa02
2015,28,STL,TE,16,12,75,39,481,12.3,0,19,37.3,49,2.4,30.1,52.0,6.4,0,0,0,0,,,0.0,0.0,39,12.3,481,0,2,4,,Jared Cook,CookJa02
2016,29,GNB,TE,10,5,51,30,377,12.6,1,19,47.1,47,3.0,37.7,58.8,7.4,0,0,0,0,,,0.0,0.0,30,12.6,377,1,1,4,,Jared Cook,CookJa02
2017,30,OAK,TE,16,16,86,54,688,12.7,2,35,54.7,35,3.4,43.0,62.8,8.0,0,0,0,0,,,0.0,0.0,54,12.7,688,2,1,6,,Jared Cook,CookJa02
2018,31,OAK,TE,16,14,101,68,896,13.2,6,46,57.4,45,4.3,56.0,67.3,8.9,0,0,0,0,,,0.0,0.0,68,13.2,896,6,0,7,PB,Jared Cook,CookJa02
2019,32,NOR,TE,14,7,65,43,705,16.4,9,32,63.1,61,3.1,50.4,66.2,10.8,0,0,0,0,,,0.0,0.0,43,16.4,705,9,0,7,PB,Jared Cook,CookJa02
2020,33,NOR,TE,15,5,60,37,504,13.6,7,27,53.3,46,2.5,33.6,61.7,8.4,0,0,0,0,,,0.0,0.0,37,13.6,504,7,1,5,,Jared Cook,CookJa02
2021,34,LAC,TE,16,10,83,48,564,11.8,4,31,50.6,42,3.0,35.3,57.8,6.8,0,0,0,0,,,0.0,0.0,48,11.8,564,4,0,5,,Jared Cook,CookJa02
