Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2010,24,NOR,TE,15,5,44,31,356,11.5,5,21,63.6,52,2.1,23.7,70.5,8.1,1,3,0,1,100.0,3,3.0,0.2,0.1,32,11.2,359,5,1,3,,Jimmy Graham,GrahJi00
2011,25,NOR,TE,16,11,149,99,1310,13.2,11,74,59.1,59,6.2,81.9,66.4,8.8,0,0,0,0,,,,0.0,0.0,99,13.2,1310,11,1,13,"PB,AP-2",Jimmy Graham,GrahJi00
2012,26,NOR,TE,15,9,135,85,982,11.6,9,59,54.8,46,5.7,65.5,63.0,7.3,0,0,0,0,,,,0.0,0.0,85,11.6,982,9,1,8,,Jimmy Graham,GrahJi00
2013,27,NOR,TE,16,12,142,86,1215,14.1,16,61,52.1,56,5.4,75.9,60.6,8.6,0,0,0,0,,,,0.0,0.0,86,14.1,1215,16,0,11,"PB,AP-1",Jimmy Graham,GrahJi00
2014,28,NOR,TE,16,13,125,85,889,10.5,10,54,62.4,29,5.3,55.6,68.0,7.1,0,0,0,0,,,,0.0,0.0,85,10.5,889,10,2,8,PB,Jimmy Graham,GrahJi00
2015,29,SEA,TE,11,11,74,48,605,12.6,2,29,54.1,45,4.4,55.0,64.9,8.2,0,0,0,0,,,,0.0,0.0,48,12.6,605,2,0,6,,Jimmy Graham,GrahJi00
2016,30,SEA,TE,16,15,95,65,923,14.2,6,45,58.9,42,4.1,57.7,68.4,9.7,1,0,0,0,0.0,,0.0,0.0,0.1,66,14.0,923,6,2,8,PB,Jimmy Graham,GrahJi00
2017,31,SEA,TE,16,13,96,57,520,9.1,10,34,49.0,33,3.6,32.5,59.4,5.4,0,0,0,0,,,,0.0,0.0,57,9.1,520,10,0,4,PB,Jimmy Graham,GrahJi00
2018,32,GNB,TE,16,12,89,55,636,11.6,2,32,47.2,54,3.4,39.8,61.8,7.1,0,0,0,0,,,,0.0,0.0,55,11.6,636,2,0,5,,Jimmy Graham,GrahJi00
2019,33,GNB,TE,16,10,60,38,447,11.8,3,23,48.3,48,2.4,27.9,63.3,7.5,0,0,0,0,,,,0.0,0.0,38,11.8,447,3,1,4,,Jimmy Graham,GrahJi00
2020,34,CHI,TE,16,15,76,50,456,9.1,8,32,56.6,30,3.1,28.5,65.8,6.0,0,0,0,0,,,,0.0,0.0,50,9.1,456,8,1,4,,Jimmy Graham,GrahJi00
2021,35,CHI,TE,15,6,23,14,167,11.9,3,10,47.8,28,0.9,11.1,60.9,7.3,0,0,0,0,,,,0.0,0.0,14,11.9,167,3,0,1,,Jimmy Graham,GrahJi00
2023,37,NOR,TE,13,2,7,6,39,6.5,4,6,85.7,12,0.5,3.0,85.7,5.6,0,0,0,0,,,,0.0,0.0,6,6.5,39,4,0,0,,Jimmy Graham,GrahJi00
