Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2012,28,JAX,TE,89,16,15,832,78%,0,0%,33,7%,Marcedes Lewis,LewiMa00
2013,29,JAX,TE,89,11,11,582,81%,0,0%,0,0%,Marcedes Lewis,LewiMa00
2014,30,JAX,TE,89,8,8,432,86%,0,0%,0,0%,Marcedes Lewis,LewiMa00
2015,31,JAX,TE,89,16,16,668,63%,0,0%,0,0%,Marcedes Lewis,LewiMa00
2016,32,JAX,TE,89,10,10,279,40%,0,0%,16,5%,Marcedes Lewis,LewiMa00
2017,33,JAX,TE,89,16,16,894,79%,0,0%,79,16%,Marcedes Lewis,LewiMa00
2018,34,GNB,TE,89,16,4,190,18%,0,0%,74,16%,Marcedes Lewis,LewiMa00
2019,35,GNB,TE,89,16,11,487,45%,0,0%,61,14%,Marcedes Lewis,LewiMa00
2020,36,GNB,TE,89,15,15,422,43%,0,0%,0,0%,Marcedes Lewis,LewiMa00
2021,37,GNB,TE,89,17,17,478,43%,0,0%,0,0%,Marcedes Lewis,LewiMa00
2022,38,GNB,TE,89,17,17,451,41%,0,0%,68,16%,Marcedes Lewis,LewiMa00
2023,39,CHI,TE,84,17,4,332,29%,0,0%,17,4%,Marcedes Lewis,LewiMa00
2024,40,CHI,TE,84,17,4,220,19%,0,0%,52,12%,Marcedes Lewis,LewiMa00
2025,41,DEN,TE,89,5,1,81,24%,0,0%,0,0%,Marcedes Lewis,LewiMa00
