Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2010,21,NWE,TE,16,11,59,42,546,13.0,10,30,64.4,28,2.6,34.1,71.2,9.3,0,0,0,0,,,,0.0,0.0,42,13.0,546,10,1,7,,Rob Gronkowski,GronRo00
2011,22,NWE,TE,16,16,124,90,1327,14.7,17,69,66.9,52,5.6,82.9,72.6,10.7,1,2,1,1,100.0,2,2.0,0.1,0.1,91,14.6,1329,18,0,14,"PB,AP-1",Rob Gronkowski,GronRo00
2012,23,NWE,TE,11,11,79,55,790,14.4,11,45,68.4,41,5.0,71.8,69.6,10.0,0,0,0,0,,,,0.0,0.0,55,14.4,790,11,1,9,PB,Rob Gronkowski,GronRo00
2013,24,NWE,TE,7,6,66,39,592,15.2,4,31,53.0,50,5.6,84.6,59.1,9.0,0,0,0,0,,,,0.0,0.0,39,15.2,592,4,0,5,,Rob Gronkowski,GronRo00
2014,25,NWE,TE,15,10,131,82,1124,13.7,12,60,55.7,46,5.5,74.9,62.6,8.6,0,0,0,0,,,,0.0,0.0,82,13.7,1124,12,0,13,"PB,AP-1,AP OPoY-5,AP CPoY-1",Rob Gronkowski,GronRo00
2015,26,NWE,TE,15,15,120,72,1176,16.3,11,52,50.0,76,4.8,78.4,60.0,9.8,0,0,0,0,,,,0.0,0.0,72,16.3,1176,11,0,12,"PB,AP-1",Rob Gronkowski,GronRo00
2016,27,NWE,TE,8,6,38,25,540,21.6,3,20,63.2,53,3.1,67.5,65.8,14.2,0,0,0,0,,,,0.0,0.0,25,21.6,540,3,0,5,,Rob Gronkowski,GronRo00
2017,28,NWE,TE,14,14,105,69,1084,15.7,8,57,60.0,53,4.9,77.4,65.7,10.3,0,0,0,0,,,,0.0,0.0,69,15.7,1084,8,1,13,"PB,AP-1,AP CPoY-3",Rob Gronkowski,GronRo00
2018,29,NWE,TE,13,11,72,47,682,14.5,3,34,62.5,42,3.6,52.5,65.3,9.5,0,0,0,0,,,,0.0,0.0,47,14.5,682,3,1,6,,Rob Gronkowski,GronRo00
2020,31,TAM,TE,16,16,77,45,623,13.8,7,29,50.6,48,2.8,38.9,58.4,8.1,0,0,0,0,,,,0.0,0.0,45,13.8,623,7,1,6,,Rob Gronkowski,GronRo00
2021,32,TAM,TE,12,12,89,55,802,14.6,6,39,57.3,42,4.6,66.8,61.8,9.0,0,0,0,0,,,,0.0,0.0,55,14.6,802,6,0,7,,Rob Gronkowski,GronRo00
