Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
1990,22,DEN,TE,16,2,13,7,99,14.1,1,5,46.2,33,0.4,6.2,53.8,7.6,0,0,0,0,,,,0.0,0.0,7,14.1,99,1,1,1,,Shannon Sharpe,SharSh00
1991,23,DEN,TE,16,9,31,22,322,14.6,1,17,61.3,37,1.4,20.1,71.0,10.4,1,15,0,1,100.0,15,15.0,0.9,0.1,23,14.7,337,1,0,3,,Shannon Sharpe,SharSh00
1992,24,DEN,TE,16,11,78,53,640,12.1,2,26,50.0,55,3.3,40.0,67.9,8.2,2,-6,0,0,0.0,-3,-3.0,-0.4,0.1,55,11.5,634,2,1,5,PB,Shannon Sharpe,SharSh00
1993,25,DEN,TE,16,12,110,81,995,12.3,9,48,59.1,63,5.1,62.2,73.6,9.0,0,0,0,0,,,,0.0,0.0,81,12.3,995,9,1,11,"PB,AP-1",Shannon Sharpe,SharSh00
1994,26,DEN,TE,15,13,139,87,1010,11.6,4,51,54.0,44,5.8,67.3,62.6,7.3,0,0,0,0,,,,0.0,0.0,87,11.6,1010,4,1,9,PB,Shannon Sharpe,SharSh00
1995,27,DEN,TE,13,12,94,63,756,12.0,4,39,59.6,49,4.8,58.2,67.0,8.0,0,0,0,0,,,,0.0,0.0,63,12.0,756,4,1,8,"PB,AP-2",Shannon Sharpe,SharSh00
1996,28,DEN,TE,15,15,120,80,1062,13.3,10,52,59.2,51,5.3,70.8,66.7,8.9,0,0,0,0,,,,0.0,0.0,80,13.3,1062,10,1,12,"PB,AP-1,AP OPoY-5",Shannon Sharpe,SharSh00
1997,29,DEN,TE,16,16,114,72,1107,15.4,3,49,57.0,68,4.5,69.2,63.2,9.7,0,0,0,0,,,,0.0,0.0,72,15.4,1107,3,1,14,"PB,AP-1",Shannon Sharpe,SharSh00
1998,30,DEN,TE,16,16,107,64,768,12.0,10,45,55.1,38,4.0,48.0,59.8,7.2,0,0,0,0,,,,0.0,0.0,64,12.0,768,10,0,10,"PB,AP-1",Shannon Sharpe,SharSh00
1999,31,DEN,TE,5,5,37,23,224,9.7,0,9,43.2,24,4.6,44.8,62.2,6.1,0,0,0,0,,,,0.0,0.0,23,9.7,224,0,0,2,,Shannon Sharpe,SharSh00
2000,32,BAL,TE,16,15,105,67,810,12.1,5,36,54.3,59,4.2,50.6,63.8,7.7,0,0,0,0,,,,0.0,0.0,67,12.1,810,5,0,9,,Shannon Sharpe,SharSh00
2001,33,BAL,TE,16,15,114,73,811,11.1,2,43,56.1,37,4.6,50.7,64.0,7.1,0,0,0,0,,,,0.0,0.0,73,11.1,811,2,1,7,PB,Shannon Sharpe,SharSh00
2002,34,DEN,TE,13,13,88,61,686,11.2,3,32,58.0,82,4.7,52.8,69.3,7.8,0,0,0,0,,,,0.0,0.0,61,11.2,686,3,0,7,,Shannon Sharpe,SharSh00
2003,35,DEN,TE,15,15,94,62,770,12.4,8,42,60.6,28,4.1,51.3,66.0,8.2,0,0,0,0,,,,0.0,0.0,62,12.4,770,8,0,9,,Shannon Sharpe,SharSh00
