Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
1997,21,KAN,TE,16,0,54,33,368,11.2,2,21,51.9,30,2.1,23.0,61.1,6.8,0,0,0,0,,,,0.0,0.0,33,11.2,368,2,0,4,,Tony Gonzalez,GonzTo00
1998,22,KAN,TE,16,16,103,59,621,10.5,2,33,40.8,32,3.7,38.8,57.3,6.0,0,0,0,0,,,,0.0,0.0,59,10.5,621,2,3,6,,Tony Gonzalez,GonzTo00
1999,23,KAN,TE,15,15,110,76,849,11.2,11,47,57.3,73,5.1,56.6,69.1,7.7,0,0,0,0,,,,0.0,0.0,76,11.2,849,11,2,8,"PB,AP-1",Tony Gonzalez,GonzTo00
2000,24,KAN,TE,16,16,150,93,1203,12.9,9,66,52.0,39,5.8,75.2,62.0,8.0,0,0,0,0,,,,0.0,0.0,93,12.9,1203,9,0,11,"PB,AP-1",Tony Gonzalez,GonzTo00
2001,25,KAN,TE,16,16,118,73,917,12.6,6,49,55.1,36,4.6,57.3,61.9,7.8,1,9,0,0,100.0,9,9.0,0.6,0.1,74,12.5,926,6,0,9,"PB,AP-1",Tony Gonzalez,GonzTo00
2002,26,KAN,TE,16,16,99,63,773,12.3,7,39,53.5,42,3.9,48.3,63.6,7.8,0,0,0,0,,,,0.0,0.0,63,12.3,773,7,0,9,"PB,AP-2",Tony Gonzalez,GonzTo00
2003,27,KAN,TE,16,16,106,71,916,12.9,10,48,54.7,67,4.4,57.3,67.0,8.6,0,0,0,0,,,,0.0,0.0,71,12.9,916,10,0,11,"PB,AP-1",Tony Gonzalez,GonzTo00
2004,28,KAN,TE,16,16,148,102,1258,12.3,7,70,60.8,32,6.4,78.6,68.9,8.5,1,5,0,0,100.0,5,5.0,0.3,0.1,103,12.3,1263,7,0,12,"PB,AP-2",Tony Gonzalez,GonzTo00
2005,29,KAN,TE,16,16,116,78,905,11.6,2,45,51.7,39,4.9,56.6,67.2,7.8,0,0,0,0,,,,0.0,0.0,78,11.6,905,2,0,9,PB,Tony Gonzalez,GonzTo00
2006,30,KAN,TE,15,15,104,73,900,12.3,5,53,58.7,57,4.9,60.0,70.2,8.7,0,0,0,0,,,,0.0,0.0,73,12.3,900,5,1,9,"PB,AP-2",Tony Gonzalez,GonzTo00
2007,31,KAN,TE,16,16,153,99,1172,11.8,5,59,52.3,31,6.2,73.3,64.7,7.7,0,0,0,0,,,,0.0,0.0,99,11.8,1172,5,0,8,"PB,AP-2",Tony Gonzalez,GonzTo00
2008,32,KAN,TE,16,16,155,96,1058,11.0,10,66,55.5,35,6.0,66.1,61.9,6.8,0,0,0,0,,,,0.0,0.0,96,11.0,1058,10,0,9,"PB,AP-1",Tony Gonzalez,GonzTo00
2009,33,ATL,TE,16,16,134,83,867,10.4,6,55,54.5,27,5.2,54.2,61.9,6.5,0,0,0,0,,,,0.0,0.0,83,10.4,867,6,0,9,,Tony Gonzalez,GonzTo00
2010,34,ATL,TE,16,16,108,70,656,9.4,6,40,52.8,34,4.4,41.0,64.8,6.1,0,0,0,0,,,,0.0,0.0,70,9.4,656,6,0,8,PB,Tony Gonzalez,GonzTo00
2011,35,ATL,TE,16,16,116,80,875,10.9,7,53,62.1,30,5.0,54.7,69.0,7.5,0,0,0,0,,,,0.0,0.0,80,10.9,875,7,0,8,PB,Tony Gonzalez,GonzTo00
2012,36,ATL,TE,16,16,124,93,930,10.0,8,65,68.5,25,5.8,58.1,75.0,7.5,0,0,0,0,,,,0.0,0.0,93,10.0,930,8,0,10,"PB,AP-1",Tony Gonzalez,GonzTo00
2013,37,ATL,TE,16,16,121,83,859,10.3,8,57,60.3,25,5.2,53.7,68.6,7.1,0,0,0,0,,,,0.0,0.0,83,10.3,859,8,0,7,PB,Tony Gonzalez,GonzTo00
