Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2013,24,KAN,TE,87,1,0,0,,0,,1,,Travis Kelce,KelcTr00
2014,25,KAN,TE,87,16,11,668,,0,,69,,Travis Kelce,KelcTr00
2015*,26,KAN,TE,87,16,16,923,,0,,78,,Travis Kelce,KelcTr00
2016*+,27,KAN,TE,87,16,15,886,,0,,14,,Travis Kelce,KelcTr00
2017*,28,KAN,TE,87,15,15,872,,1,,0,,Travis Kelce,KelcTr00
2018*+,29,KAN,TE,87,16,16,993,,0,,0,,Travis Kelce,KelcTr00
2019*,30,KAN,TE,87,16,16,971,,1,,0,,Travis Kelce,KelcTr00
2020*+,31,KAN,TE,87,15,15,899,,1,,0,,Travis Kelce,KelcTr00
2021*,32,KAN,TE,87,16,16,926,,0,,0,,Travis Kelce,KelcTr00
2022*+,33,KAN,TE,87,17,17,914,,0,,0,,Travis Kelce,KelcTr00
2023*,34,KAN,TE,87,15,15,775,,2,,0,,Travis Kelce,KelcTr00
2024*,35,KAN,TE,87,16,16,940,,0,,0,,Travis Kelce,KelcTr00
2025,36,KAN,TE,87,14,14,774,,0,,0,,Travis Kelce,KelcTr00
