Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2016,23,LAR,TE,16,7,29,11,85,7.7,1,3,10.3,31,0.7,5.3,37.9,2.9,0,0,0,0,,,,0.0,0.0,11,7.7,85,1,0,1,,Tyler Higbee,HigbTy00
2017,24,LAR,TE,16,16,45,25,295,11.8,1,12,44.4,38,1.6,18.4,55.6,6.6,0,0,0,0,,,,0.0,0.0,25,11.8,295,1,0,3,,Tyler Higbee,HigbTy00
2018,25,LAR,TE,16,16,34,24,292,12.2,2,16,64.7,36,1.5,18.3,70.6,8.6,0,0,0,0,,,,0.0,0.0,24,12.2,292,2,1,3,,Tyler Higbee,HigbTy00
2019,26,LAR,TE,15,15,89,69,734,10.6,3,36,66.3,33,4.6,48.9,77.5,8.2,0,0,0,0,,,,0.0,0.0,69,10.6,734,3,0,6,,Tyler Higbee,HigbTy00
2020,27,LAR,TE,15,15,60,44,521,11.8,5,27,61.7,44,2.9,34.7,73.3,8.7,1,1,0,0,0.0,1,1.0,0.1,0.1,45,11.6,522,5,0,4,,Tyler Higbee,HigbTy00
2021,28,LAR,TE,15,15,85,61,560,9.2,5,40,60.0,37,4.1,37.3,71.8,6.6,0,0,0,0,,,,0.0,0.0,61,9.2,560,5,1,5,,Tyler Higbee,HigbTy00
2022,29,LAR,TE,17,17,108,72,620,8.6,3,32,51.9,26,4.2,36.5,66.7,5.7,0,0,0,0,,,,0.0,0.0,72,8.6,620,3,0,6,,Tyler Higbee,HigbTy00
2023,30,LAR,TE,15,15,70,47,495,10.5,2,26,57.1,33,3.1,33.0,67.1,7.1,0,0,0,0,,,,0.0,0.0,47,10.5,495,2,0,5,,Tyler Higbee,HigbTy00
2024,31,LAR,TE,3,3,12,8,66,8.3,2,10,58.3,17,2.7,22.0,66.7,5.5,0,0,0,0,,,,0.0,0.0,8,8.3,66,2,0,1,,Tyler Higbee,HigbTy00
2025,32,LAR,TE,10,8,36,25,281,11.2,3,17,58.3,24,2.5,28.1,69.4,7.8,0,0,0,0,,,,0.0,0.0,25,11.2,281,3,0,3,,Tyler Higbee,HigbTy00
