Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2013,23,PHI,TE,86,16,3,450,41%,0,0%,167,35%,Zach Ertz,ErtzZa00
2014,24,PHI,TE,86,16,5,588,50%,0,0%,210,41%,Zach Ertz,ErtzZa00
2015,25,PHI,TE,86,15,7,789,72%,0,0%,83,18%,Zach Ertz,ErtzZa00
2016,26,PHI,TE,86,14,12,849,85%,0,0%,137,36%,Zach Ertz,ErtzZa00
2020,30,PHI,TE,86,11,11,635,82%,0,0%,10,3%,Zach Ertz,ErtzZa00
2021,31,2TM,TE,,17,14,849,,0,,1,,Zach Ertz,ErtzZa00
2022,32,ARI,TE,86,10,10,575,79%,0,0%,3,1%,Zach Ertz,ErtzZa00
2023,33,ARI,TE,86,7,7,295,64%,0,0%,0,0%,Zach Ertz,ErtzZa00
2024,34,WAS,TE,86,17,17,771,66%,0,0%,2,0%,Zach Ertz,ErtzZa00
2025,35,WAS,TE,86,13,13,551,67%,0,0%,1,0%,Zach Ertz,ErtzZa00
