Category,Model,Test MAE,Test RMSE,Test R2,Source
Ensemble Opt1,Opt1 / constrained_ls,17.711,25.403,0.3198,this notebook
Base,MLP Quantile,17.754,25.68,0.3049,this notebook
Reference,MLP Quantile q50 (standalone),17.76,25.6,0.3093,WR_MLP_Quantile
Ensemble Opt1,Opt1 / inverse_mae,17.79,25.231,0.329,this notebook
Ensemble Opt1,Opt1 / simple_mean,17.791,25.231,0.329,this notebook
Ensemble Opt2,Opt2 / constrained_ls,17.901,25.285,0.3261,this notebook
Ensemble Opt2,Opt2 / inverse_mae,17.902,25.29,0.3259,this notebook
Ensemble Opt2,Opt2 / simple_mean,17.902,25.289,0.3259,this notebook
Base,XGBoost,18.016,25.489,0.3152,this notebook
Reference,LSTM Improved (best single RNN),18.029,25.11,0.3354,WR_RNN_Improved
Base,MLP Hybrid,18.046,25.365,0.3219,this notebook
Reference,"OLD Ensemble (XGB+LGB+MLP, grid weights)",18.05,25.05,0.3384,WR_Career_RNN_Optuna
Reference,GRU Improved (Optuna),18.094,25.164,0.3326,WR_RNN_Improved_GRU
Base,ElasticNet,18.103,25.416,0.3192,this notebook
Base,LightGBM,18.11,25.659,0.3061,this notebook
Ensemble Opt1,Opt1 / ridge_stack,18.14,25.157,0.333,this notebook
Ensemble Opt2,Opt2 / ridge_stack,18.196,25.209,0.3302,this notebook
