,importance
targets_roll5,0.14948524683981304
target_share_std_roll5,0.028252239930471504
first_downs_roll5,0.0232909078506128
target_share_std_roll3,0.021247299776738574
target_share_std_lag1,0.01141089332373878
career_avg_yards_last_season,0.009597165820121946
pregame_total,0.008033333050389026
target_share_roll5,0.0079229878607468
avg_start_yardline_lag1,0.00786547418089028
pregame_spread,0.007515460310737366
team_epa_lag1,0.007490236175928773
air_yards_roll5,0.007180167635359032
qb_air_yards_lag1,0.00707025733833571
wp_var_lag1,0.006728039077238845
humidity_pct,0.00665344005024954
avg_start_yardline_roll3,0.006645639158757509
avg_start_yardline_roll5,0.006595431208703592
air_yard_share_roll5,0.006583636597909284
target_share_lag1,0.006566460476719538
air_yard_share_lag1,0.00643307258438674
def_epa_dev_lag1,0.006407989321646799
wpa_lag1,0.006397676390322749
career_avg_air_yard_share_last_season,0.006392337715038145
team_epa_roll3,0.006375619342994785
qb_air_yards_roll3,0.006352168611141663
