Pozicija,Tip,Model,MAE,RMSE,R²
QB,ML,Linear Regression,33.17,44.69,-0.11
QB,ML,Ridge,37.33,52.88,-0.555
QB,ML,Lasso,35.66,49.87,-0.383
QB,ML,ElasticNet,35.65,51.38,-0.468
QB,ML,KNeighbors,30.84,43.94,-0.073
QB,ML,Random Forest,36.55,49.57,-0.366
RB,ML,Linear Regression,20.77,24.8,0.011
RB,ML,Ridge,20.11,24.25,0.055
RB,ML,Lasso,20.43,24.42,0.041
RB,ML,ElasticNet,20.22,24.34,0.047
RB,ML,KNeighbors,18.87,24.37,0.046
RB,ML,Random Forest,19.44,23.52,0.111
TE,ML,Linear Regression,12.22,14.2,0.356
TE,ML,Ridge,11.2,12.36,0.513
TE,ML,Lasso,10.65,11.59,0.571
TE,ML,ElasticNet,11.13,12.17,0.528
TE,ML,KNeighbors,10.77,11.98,0.542
TE,ML,Random Forest,10.86,12.07,0.535
WR,ML,Linear Regression,9.51,12.52,0.606
WR,ML,Ridge,9.45,12.48,0.609
WR,ML,Lasso,9.43,12.42,0.612
WR,ML,ElasticNet,9.42,12.42,0.612
WR,ML,KNeighbors,10.08,13.11,0.568
WR,ML,Random Forest,9.63,12.61,0.6
QB,NN,MLP (128-64),37.4,49.88,-0.383
QB,NN,MLP (256-128-64),41.46,56.29,-0.761
RB,NN,MLP (128-64),20.68,25.42,-0.039
RB,NN,MLP (256-128-64),22.04,26.03,-0.089
TE,NN,MLP (128-64),12.57,14.88,0.294
TE,NN,MLP (256-128-64),13.38,15.32,0.252
WR,NN,MLP (128-64),9.3,12.4,0.614
WR,NN,MLP (256-128-64),9.39,12.3,0.62
